"linked_to_doi","source","original_doi","altmetric_id","source_type","title","url","posted_on","summary"
"10.1126","altmetric","10.1787/0b55736e-en","144041100","policy","Reviving productivity growth","https://www.oecd.org/content/dam/oecd/en/publications/reports/2024/10/reviving-productivity-growth_936a1da3/61244acd-en.pdf","2024-10-02T12:48:59+00:00",""
"10.1126","altmetric","10.1787/0b55736e-en","144041100","policy","Policy approaches to reduce inequalities while boosting productivity growth","https://www.oecd.org/content/dam/oecd/en/publications/reports/2024/09/policy-approaches-to-reduce-inequalities-while-boosting-productivity-growth_bf9b2e9d/af121c8f-en.pdf","2024-08-28T13:35:02+00:00",""
"10.1126","altmetric","10.1787/0b55736e-en","144041100","policy","Steering responses to climate change from the centre of government","https://www.oecd.org/content/dam/oecd/en/publications/reports/2023/10/steering-responses-to-climate-change-from-the-centre-of-government_6296f4df/b95c8396-en.pdf","2023-10-26T12:44:11+00:00",""
"10.1126","altmetric","10.1787/0b55736e-en","144041100","policy","Measuring governments’ R&D funding response to COVID-19","https://www.oecd.org/content/dam/oecd/en/publications/reports/2023/10/measuring-governments-r-d-funding-response-to-covid-19_4ded1500/4889f5f2-en.pdf","2023-11-08T10:13:47+00:00",""
"10.1126","altmetric","10.1787/0b55736e-en","144041100","policy","Unlocking the potential of dual-use research and innovation","https://op.europa.eu/o/opportal-service/download-handler?identifier=e11c91be-5173-11f0-a9d0-01aa75ed71a1&format=pdf&language=en&productionSystem=cellar&part=","2025-06-24T00:00:00+00:00",""
"10.1126","altmetric","10.2903/j.efsa.2022.7415","133895529","news","Primer caso en España de gripe aviar H5N1 en humanos: ¿hay motivos para la preocupación?","https://theconversation.com/primer-caso-en-espana-de-gripe-aviar-h5n1-en-humanos-hay-motivos-para-la-preocupacion-191894","2022-10-04T17:02:44+00:00","Un trabajador de una explotación de gallinas ponedoras del municipio de Fontanar, en Guadalajara, ha dado positivo en gripe aviar H5N1."
"10.1126","altmetric","10.2903/j.efsa.2022.7415","133895529","news","News story from Yahoo! España on Tuesday 04 October 2022","","2022-10-04T17:02:44+00:00",""
"10.1126","altmetric","10.2903/j.efsa.2022.7415","133895529","news","Primer caso en España de gripe aviar H5N1 en humanos: ¿hay motivos para la preocupación?","https://www.catalunyavanguardista.com/primer-caso-en-espana-de-gripe-aviar-h5n1-en-humanos-hay-motivos-para-la-preocupacion/","2022-10-05T08:38:40+00:00","Shutterstock / bangoland Raúl Rivas González, Universidad de Salamanca Un trabajador de una explotación de gallinas ponedoras del municipio de Fontanar, en Guadalajara, ha dado positivo en gripe aviar H5N1."
"10.1126","altmetric","10.2903/j.efsa.2022.7415","133895529","news","23 things we think will happen in 2023","https://www.vox.com/future-perfect/2023/1/2/23494204/biden-trump-putin-supreme-court-2023-predictions","2023-01-02T12:00:00+00:00","This will be the fourth year in a row that the staff of Future Perfect has given itself the task of trying to predict, well, the future."
"10.1126","altmetric","10.2903/j.efsa.2022.7415","133895529","news","Future Perfect’s forecasts for 2023 — Covid, Putin, inflation, and more","https://news-24.fr/future-perfects-forecasts-for-2023-covid-putin-inflation-and-more/","2023-01-02T12:24:48+00:00","This will be the fourth year in a row that the staff of Future Perfect has given itself the task of trying to predict, well, the future."
"10.1126","altmetric","10.2903/j.efsa.2022.7415","133895529","news","Avian influenza death of Alaska polar bear is a global first and a sign of the virus’ persistence","http://ct.moreover.com/?a=52725559685&p=1pl&v=1&x=LbljXlc1ZflJh7k91npFdA","2023-12-31T17:02:03+00:00","A polar bear found dead on Alaska’s North Slope is the first of the species known to have been killed by the highly pathogenic avian influenza that is circulating among animal populations around the world."
"10.1126","altmetric","10.2903/j.efsa.2022.7415","133895529","news","Avian influenza death of Alaska polar bear is a global first and a sign of the virus’ persistence | Juneau Empire","http://ct.moreover.com/?a=52719488523&p=1pl&v=1&x=y6ikMfbBt9g-b1mF71IQKQ","2023-12-30T06:30:00+00:00","A polar bear found dead on Alaskas North Slope is the first of the species known to have been killed by the highly pathogenic avian influenza that is circulating among animal populations around the world."
"10.1126","altmetric","10.2903/j.efsa.2022.7289","126095156","news","Record avian flu outbreak is threatening North America’s birds. Is the virus here to stay?","https://www.science.org/content/article/record-avian-flu-outbreak-threatening-north-america-s-birds-virus-here-stay","2022-04-26T05:00:00+00:00","When black vultures began to die at Florida’s Hontoon Island State Park in February, rangers called in investigators from the state’s Fish and Wildlife Conservation Commission."
"10.1126","altmetric","10.2903/j.efsa.2022.7289","126095156","news","Bird flu: UK is seeing its largest ever outbreak – which may prove particularly deadly for wild birds","https://uk.news.yahoo.com/bird-flu-uk-seeing-largest-170741141.html","2022-11-22T17:07:41+00:00","The outbreak of avian influenza which has hit the UK since the autumn of 2021 is the largest the country has ever seen."
"10.1126","altmetric","10.2903/j.efsa.2022.7289","126095156","news","Bird flu: UK is seeing its largest ever outbreak – which may prove particularly deadly for wild birds","https://theconversation.com/bird-flu-uk-is-seeing-its-largest-ever-outbreak-which-may-prove-particularly-deadly-for-wild-birds-194694","2022-11-22T17:07:41+00:00","The outbreak of avian influenza which has hit the UK since the autumn of 2021 is the largest the country has ever seen."
"10.1126","altmetric","10.2903/j.efsa.2022.7289","126095156","news","MIL-OSI Global: Bird flu: UK is seeing its largest ever outbreak – which may prove particularly deadly for wild birds","https://foreignaffairs.co.nz/2022/11/23/mil-osi-global-bird-flu-uk-is-seeing-its-largest-ever-outbreak-which-may-prove-particularly-deadly-for-wild-birds/","2022-11-22T17:48:48+00:00","– By Alastair Ward, Associate Professor of Biodiversity and Ecosystem Management, University of Leeds In the UK, more than 150 cases of bird flu have been reported between September and November of this year alone."
"10.1126","altmetric","10.2903/j.efsa.2021.7108","120352829","wikipedia","2020–2024 H5N1 outbreak","http://en.wikipedia.org/?diff=prev&oldid=1230684054#altmetric_citation_576ca9af-3774-4f2a-9d96-148214ca5dcd","2024-06-24T03:23:04+00:00","Since 2020, global outbreaks of avian influenza subtype H5N1 have been occurring, with cases reported from every continent as of May 2024."
"10.1126","altmetric","10.2903/j.efsa.2016.4687","69975994","policy","6 January 2017: Avian Influenza (H5N8) in Europe and in the UK","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/581998/hpai-europe-update8.pdf","2017-01-06T15:19:37+00:00",""
"10.1126","altmetric","10.2903/j.efsa.2016.4687","69975994","policy","29 December 2016: Avian Influenza (H5N8) in Europe and in the UK","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/580867/hpai-europe-update7.pdf","2016-12-29T17:55:11+00:00",""
"10.1126","altmetric","10.2903/j.efsa.2016.4687","69975994","policy","Commission Implementing Decision (EU) 2017/263 of 14 February 2017 on risk mitigating and reinforced biosecurity measures and early detection systems in relation to the risks posed by wild birds for the transmission of highly pathogenic avian influenza viruses to poultry (notified under document C(2017) 765) (Text with EEA relevance. )","http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32017D0263","2017-02-15T14:20:53+00:00",""
"10.1126","altmetric","10.2903/j.efsa.2016.4687","69975994","policy","Commission Implementing Decision (EU) 2017/247 of 9 February 2017 on protective measures in relation to outbreaks of highly pathogenic avian influenza in certain Member States (notified under document C(2017) 1044) (Text with EEA relevance. )","http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32017D0247","2017-02-10T17:38:57+00:00",""
"10.1038","altmetric","10.2903/j.efsa.2016.4687","69975994","policy","6 January 2017: Avian Influenza (H5N8) in Europe and in the UK","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/581998/hpai-europe-update8.pdf","2017-01-06T15:19:37+00:00",""
"10.1038","altmetric","10.2903/j.efsa.2016.4687","69975994","policy","29 December 2016: Avian Influenza (H5N8) in Europe and in the UK","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/580867/hpai-europe-update7.pdf","2016-12-29T17:55:11+00:00",""
"10.1038","altmetric","10.2903/j.efsa.2016.4687","69975994","policy","Commission Implementing Decision (EU) 2017/263 of 14 February 2017 on risk mitigating and reinforced biosecurity measures and early detection systems in relation to the risks posed by wild birds for the transmission of highly pathogenic avian influenza viruses to poultry (notified under document C(2017) 765) (Text with EEA relevance. )","http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32017D0263","2017-02-15T14:20:53+00:00",""
"10.1038","altmetric","10.2903/j.efsa.2016.4687","69975994","policy","Commission Implementing Decision (EU) 2017/247 of 9 February 2017 on protective measures in relation to outbreaks of highly pathogenic avian influenza in certain Member States (notified under document C(2017) 1044) (Text with EEA relevance. )","http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32017D0247","2017-02-10T17:38:57+00:00",""
