altmetric_id,doi,source_type,title,url,posted_on,summary,first_order_doi
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Governance of Dual Use Research in the Life Sciences,https://www.interacademies.org/sites/default/files/publication/governance_of_dual_use_research.pdf,2018-12-03T12:00:00+00:00,,https://doi.org/10.17226/25154
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Emerging technologies and dual-use concerns: a horizon scan for global public health,https://iris.who.int/bitstream/10665/346862/1/9789240036161-eng.pdf,2021-10-22T06:01:15+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Global guidance framework for the responsible use of the life sciences: mitigating biorisks and governing dual-use research,https://iris.who.int/bitstream/10665/362313/1/9789240056107-eng.pdf,2022-09-13T14:00:00+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,"全球指导框架: 负责任地使用生命科学: 减轻生物风险,治理双重用途研究",https://iris.who.int/bitstream/10665/369236/1/9789240066342-chi.pdf,2023-06-14T12:42:02+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Marco de orientación mundial para el uso responsable de las ciencias biológicas: reducción de los riesgos biológicos y gobernanza de la investigación de doble uso,https://iris.who.int/bitstream/10665/368979/1/9789240067196-spa.pdf,2023-06-09T13:03:32+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,إطار توجيهي عالمي بشأن الاستخدام المسؤول لعلوم الحياة: الحدّ من المخاطر البيولوجّية وتنظيم البحوث المزدوجة الاستخدام,https://iris.who.int/bitstream/10665/369130/1/9789240064478-ara.pdf,2023-06-13T07:35:19+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Глобальные руководящие принципы ответственного использования медико-биологических исследований: снижение биологических рисков и управление исследованиями двойного назначения,https://iris.who.int/bitstream/10665/369132/1/9789240066304-rus.pdf,2023-06-13T07:40:02+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Cadre d’orientation mondial pour l’usage responsable des sciences de la vie : atténuer les risques biologiques et régir la recherche duale,https://iris.who.int/bitstream/10665/369131/1/9789240067219-fre.pdf,2023-06-13T07:37:42+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Biosafety in microbiological and biomedical laboratories,https://stacks.cdc.gov/view/cdc/97733/cdc_97733_DS1.pdf,2020-06-01T00:00:00+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Quadro mundial de orientação para a utilização responsável das ciências da vida: mitigar os riscos biológicos e reger a investigação de dupla utilização,https://iris.who.int/bitstream/10665/374885/1/9789290341574-por.pdf,2023-12-08T11:51:08+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Quadro mundial de orientação para a utilização responsável das ciências da vida: mitigar os riscos biológicos e reger a investigação de dupla utilização,https://iris.who.int/bitstream/10665/374885/1/9789290341574-por.pdf,2023-12-08T11:51:08+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Quadro mundial de orientação para a utilização responsável das ciências da vida: mitigar os riscos biológicos e reger a investigação de dupla utilização,https://iris.who.int/bitstream/10665/374885/4/9789290314394-por.pdf,2023-12-08T11:51:08+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Quadro mundial de orientação para a utilização responsável das ciências da vida: mitigar os riscos biológicos e reger a investigação de dupla utilização,https://iris.who.int/bitstream/10665/374885/4/9789290314394-por.pdf,2023-12-08T11:51:08+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,policy,Security Implications of Synthetic Biology and Nanobiotechnology: a Risk and Response Assessment of Advances in Biotechnology,https://unicri.org/sites/default/files/2019-10/UNICRI%202012%20Security%20Implications%20of%20Synthetic%20Biology%20and%20Nanobiotechnology_0.pdf,2012-05-30T11:25:44+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,guideline,Responsible life sciences research for global health security:  a guidance document,https://iris.who.int/bitstream/10665/70507/1/WHO_HSE_GAR_BDP_2010.2_eng.pdf,2012-06-17T01:44:10+00:00,,
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Soluble vaccinia virus protein that binds chemokines,https://app.dimensions.ai/details/patent/US-6355252-B1,2002-03-12T00:00:00+00:00,"Use for novel chemokine-binding protein designated A41L, and chemokine-binding fragments thereof, for the treatment of conditions such as inflammation. The A41L protein beinds to chemokines in the CXC group.",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Interleukin-1 receptor antagonist beta (IL-1rabeta),https://app.dimensions.ai/details/patent/US-6399573-B1,2002-06-04T00:00:00+00:00,IL-1ra beta polypeptides and polynucleotides and methods for producing such polypeptides by recombinant techniques are disclosed. Also disclosed are methods for utilizing IL-1ra beta polypeptides and polynucleotides in the design of protocols for the tr...,
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Recombinant virus expressing foreign DNA encoding feline CD86 and uses thereof,https://app.dimensions.ai/details/patent/US-7279168-B2,2007-10-09T00:00:00+00:00,"The present invention involves a recombinant virus which comprises at least one foreign nucleic acid inserted within a non-essential region of the viral genome of a virus, wherein each such foreign nucleic acid encodes a protein. The protein which is en...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Antibacterial therapy with bacteriophage physico-chemically altered by pegylation to delay inactivation by the host defense system,https://app.dimensions.ai/details/patent/US-7332307-B2,2008-02-19T00:00:00+00:00,"The present invention is directed to bacteriophage therapy, using methods which enable the bacteriophage to delay inactivation by any and all parts of the host defense system (HDS) against foreign objects. The HDS normally reduces the number of bacterio...",
