Alpha,Alpha base,Variant,Beta,VS,Spearman,Overlap top_100 (%),Overlap top_500 (%),Overlap top 1pct (%),Overlap top 5pct (%),Top_100 IH_pct (%),Top_500 IH_pct (%),Top 1pct_IH (%),Top 5pct_IH (%),Δ top 100 (%),Average IH percentile rank (AIHPR),Δ AIHPR (%)
0.850000000,0.850000000,EXP_D_L_T,5.000000000,EXP_D_L_T @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,20.000000000,23.200000000,22.050000000,13.240000000,0.000000000,43.610000000,0.000000000
0.850000000,0.850000000,EXP_D,7.000000000,EXP_D @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,19.000000000,24.000000000,22.590000000,12.810000000,0.000000000,44.010000000,0.000000000
0.850000000,0.850000000,EXP_D_L,7.000000000,EXP_D_L @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,23.000000000,23.000000000,22.050000000,13.330000000,0.000000000,43.560000000,0.000000000
0.850000000,0.850000000,EXP_D_L_T,7.000000000,EXP_D_L_T @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,20.000000000,23.400000000,21.950000000,13.180000000,0.000000000,43.590000000,-0.000000000
0.850000000,0.850000000,EXP_D,9.000000000,EXP_D @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,19.000000000,23.800000000,22.490000000,12.770000000,0.000000000,43.930000000,0.000000000
0.850000000,0.850000000,EXP_D_L,9.000000000,EXP_D_L @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,22.000000000,23.000000000,21.950000000,13.330000000,0.000000000,43.540000000,0.000000000
0.850000000,0.850000000,EXP_D_L_T,9.000000000,EXP_D_L_T @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,20.000000000,23.000000000,21.950000000,13.220000000,0.000000000,43.570000000,0.000000000
0.990000000,0.850000000,UNW,,UNW @ α=0.85,1.000000000,95.000000000,96.000000000,98.490000000,99.330000000,23.000000000,24.000000000,23.140000000,13.310000000,-2.000000000,44.060000000,0.080000000
0.990000000,0.850000000,BW,,BW @ α=0.85,1.000000000,95.000000000,96.200000000,98.810000000,99.070000000,22.000000000,24.400000000,23.140000000,13.160000000,-2.000000000,44.210000000,0.090000000
0.990000000,0.850000000,BW_D,,BW_D @ α=0.85,1.000000000,95.000000000,96.200000000,98.810000000,99.070000000,22.000000000,24.400000000,23.140000000,13.160000000,-2.000000000,44.210000000,0.090000000
0.990000000,0.850000000,BW_D_L,,BW_D_L @ α=0.85,1.000000000,98.000000000,98.200000000,97.620000000,99.240000000,24.000000000,24.000000000,22.810000000,13.420000000,1.000000000,43.900000000,0.060000000
0.990000000,0.850000000,BW_D_L_T,,BW_D_L_T @ α=0.85,1.000000000,97.000000000,98.000000000,97.950000000,99.070000000,22.000000000,23.800000000,22.700000000,13.240000000,-1.000000000,43.990000000,0.070000000
0.990000000,0.850000000,EXP_D,3.000000000,EXP_D @ α=0.85,1.000000000,94.000000000,98.400000000,97.620000000,99.350000000,22.000000000,23.200000000,22.590000000,12.620000000,1.000000000,44.420000000,0.100000000
0.990000000,0.850000000,EXP_D_L,3.000000000,EXP_D_L @ α=0.85,1.000000000,96.000000000,98.400000000,96.650000000,98.770000000,23.000000000,22.600000000,22.490000000,13.090000000,0.000000000,43.680000000,0.030000000
0.990000000,0.850000000,EXP_D_L_T,3.000000000,EXP_D_L_T @ α=0.85,1.000000000,95.000000000,98.000000000,96.430000000,98.750000000,22.000000000,22.600000000,22.160000000,13.070000000,0.000000000,43.700000000,0.030000000
0.990000000,0.850000000,EXP_D,5.000000000,EXP_D @ α=0.85,1.000000000,90.000000000,98.000000000,96.760000000,99.330000000,19.000000000,23.200000000,22.490000000,12.660000000,-2.000000000,44.210000000,0.080000000
