Alpha,Variant,Beta,Spearman,Overlap top_100 (%),Overlap top_500 (%),Overlap top 1pct (%),Overlap top 5pct (%),Top_100 IH_pct (%),Top_500 IH_pct (%),Top 1pct_IH (%),Top 5pct_IH (%),Δ top 100 (%),Average IH percentile rank (AIHPR),Δ AIHPR (%)
0.500000000,EXP_D_L_T,3.000000000,1.000000000,91.000000000,93.200000000,93.730000000,93.580000000,27.000000000,23.400000000,23.140000000,13.670000000,2.000000000,43.580000000,-0.180000000
0.500000000,EXP_D,5.000000000,0.990000000,95.000000000,93.600000000,93.840000000,93.580000000,26.000000000,23.400000000,23.680000000,13.500000000,1.000000000,43.910000000,0.150000000
0.500000000,EXP_D_L,5.000000000,1.000000000,91.000000000,92.800000000,93.300000000,93.320000000,26.000000000,23.200000000,23.460000000,13.630000000,1.000000000,43.520000000,-0.230000000
0.500000000,EXP_D_L_T,5.000000000,1.000000000,90.000000000,92.200000000,92.970000000,92.830000000,26.000000000,23.200000000,23.140000000,13.590000000,1.000000000,43.540000000,-0.210000000
0.500000000,EXP_D,7.000000000,0.990000000,95.000000000,91.400000000,93.300000000,93.110000000,26.000000000,23.400000000,23.570000000,13.480000000,1.000000000,43.820000000,0.060000000
0.500000000,EXP_D_L,7.000000000,1.000000000,90.000000000,91.400000000,92.970000000,92.890000000,26.000000000,23.400000000,23.350000000,13.650000000,1.000000000,43.510000000,-0.250000000
0.500000000,EXP_D_L_T,7.000000000,1.000000000,90.000000000,91.200000000,92.760000000,92.630000000,26.000000000,23.400000000,23.140000000,13.550000000,1.000000000,43.530000000,-0.230000000
0.500000000,EXP_D,9.000000000,0.990000000,94.000000000,91.400000000,92.860000000,92.760000000,25.000000000,23.600000000,23.460000000,13.520000000,0.000000000,43.770000000,0.010000000
0.500000000,EXP_D_L,9.000000000,1.000000000,89.000000000,91.200000000,92.540000000,92.630000000,26.000000000,23.400000000,23.350000000,13.610000000,1.000000000,43.500000000,-0.260000000
0.500000000,EXP_D_L_T,9.000000000,1.000000000,89.000000000,90.600000000,92.650000000,92.310000000,25.000000000,23.200000000,23.140000000,13.550000000,0.000000000,43.520000000,-0.230000000
