altmetric_id,core_doi,document_type,title,unique_identifier,posted_on,summary,lang_checked
803051,10.1126/science.1213362,news,Animals and AI help scientists study pandemics,https://www.popsci.com/environment/animals-and-ai-help-scientists-study-pandemics,25/06/2023,"For decades, scientists have studied non-human animals to better understand infectious diseases.",True
803051,10.1126/science.1213362,news,Person Infected With Bird Flu in Texas After Contact With Cattle,https://dnyuz.com/2024/04/01/person-infected-with-bird-flu-in-texas-after-contact-with-cattle,01/04/2024,"At least one person in Texas has become ill following contact with dairy cows presumed to be infected with avian influenza, state officials said on Monday.",True
803051,10.1126/science.1213362,news,Person Infected With Bird Flu in Texas After Contact With Cattle,https://pressnewsagency.org/person-infected-with-bird-flu-in-texas-after-contact-with-cattle,01/04/2024,"At least one person in Texas has been diagnosed with bird flu after having contact with dairy cows presumed to be infected, state officials said on Monday.",True
803051,10.1126/science.1213362,news,American gets bird flu from infected cow,http://ct.moreover.com/?a=53485794426&p=1pl&v=1&x=ch1f5w81frykpxjv5_2syw,03/04/2024,"A person in Texas has been infected with bird flu after exposure to dairy cows which had the virus, in the first confirmed case of a subtype of the virus, named H5N1, transmitting between a human and another mammal.",True
803051,10.1126/science.1213362,news,What to Know About the Bird Flu Outbreak in Dairy Cows,https://dnyuz.com/2024/04/03/what-to-know-about-the-bird-flu-outbreak-in-dairy-cows,03/04/2024,"An unusual bird flu outbreak in dairy cows has now affected at least 13 herds in six states, according to federal and state officials.",True
803051,10.1126/science.1213362,news,Avian Influenza In Cattle And A Person Prompts Health Advisory From CDC,http://ct.moreover.com/?a=53589369060&p=1pl&v=1&x=xd9pxatun_l1mhfb9gdzyq,16/04/2024,"pm EDT Since late March, highly pathogenic avian influenza has been identified in cattle throughout the United States.",True
803051,10.1126/science.1213362,news,The Bird-Flu Host We Should Worry About,http://ct.moreover.com/?a=53857122490&p=1pl&v=1&x=6nakk5pt4wiucqhf8tlfza,20/05/2024,"Pigs have a track record of hosting flu viruses that jump to us. Of all the creatures stricken with this new and terrible H5N1 flu—the foxes, the bears, the eagles, ducks, chickens, and many other birds—dairy cattle are some of the most intimate...",True
803051,10.1126/science.1213362,news,The Bird-Flu Host We Should Worry About,http://ct.moreover.com/?a=53857033450&p=1pl&v=1&x=ieobbmffxwjxgnncvjpxda,20/05/2024,Of all the creatures stricken with this new and terrible H5N1 flu——dairy cattle are some of the most intimate with us.,True
803051,10.1126/science.1213362,news,Gain-of-Function May Explain Bird Flu Jump To Cows And Humans,http://ct.moreover.com/?a=53948561064&p=1pl&v=1&x=kbrhtbedtc5fooekvlvqiq,31/05/2024,"Authored by Yuhong Dong, M.D., Ph.D. and Xiaoxu Sean Lin, M.D., Ph.D. via The Epoch Times, (Illustration by The Epoch Times, Shutterstock) In the past six months, bird flu has surprised scientists at least twice.",True
803051,10.1126/science.1213362,news,"Nature Sets Barriers To Risky Viruses, While China's Gain-of-Function Study Is Breaking Them",http://ct.moreover.com/?a=54241316212&p=1pl&v=1&x=hlnk1g8fwa8v0ntnl2yipq,08/07/2024,"Authored by Yuhong Dong M.D., Ph.D. via The Epoch Times (emphasis ours), We’re not afraid of the tigers in the zoo because we trust they cannot attack.",True
