unique_identifier,title,document_type,published_on,document_url,source_specific_tags,top_topics,languages,document_theme,first_order_doi
who-9f889073fd3c6252f8da358a74f32295,Safety monitoring of mpox vaccines using cohort event monitoring: a WHO protocol,Publication,2024-12-02,https://apps.who.int/iris/handle/10665/379659,1. Headquarters,"Pharmacovigilance, Childbirth, Birth defect",eng,"health>diseases and conditions, health, health>diseases and conditions>illness",10.1056/nejmoa1817307
adminch-0c384b39739212fc3e0828b59be821ed,BAG-Bulletin 43/2023,Publication,2023-10-18,https://www.bag.admin.ch/dam/bag/de/dokumente/cc/Kampagnen/Bulletin/2023/bu-43-23.pdf.download.pdf/BU_43_23_DE.pdf,,"Vaccination, Smallpox vaccine, Mpox",ger,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease",10.1056/nejmoa1817307
adminch-43595a8625cbf011d4198a01e98ad50a,OFSP-Bulletin 43/2023,Publication,2023-10-18,https://www.bag.admin.ch/dam/bag/fr/dokumente/cc/Kampagnen/Bulletin/2023/bu-43-23.pdf.download.pdf/BU_43_23_FR.pdf,,"COVID-19 vaccine, Cantons of Switzerland, Mpox",fre,"health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness, health>diseases and conditions>communicable disease",10.1056/nejmoa1817307
govdeptsjapan-794c3583a71ffa10232284850a653aec,Individual survey analysis 1 Health/medical care,Publication,2023-05-11,https://www8.cao.go.jp/cstp/stmain/pdf/20230314thinktank/seikabutsu/shiryou2-1-01.pdf,,"Vaccine, Health sciences, Clinical medicine",jpn,"health>health treatment, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions, health, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, science and technology, health>diseases and conditions>cancer, health>health treatment>medicine",10.1056/nejmoa1817307
govdeptsjapan-a7e8c6d921b30cc88cc45ff636cf0899,Individual Survey Analysis 1: Health and Medicine,Publication,2023-05-11,https://www8.cao.go.jp/cstp/stmain/pdf/20230314thinktank/seikabutsu/shiryou2-2-06.pdf,,"Genome editing, DNA, 3C-like protease",jpn,"health>diseases and conditions>communicable disease, health>health treatment, science and technology>natural science, health>diseases and conditions, health, science and technology>natural science>biology, science and technology, health>diseases and conditions>communicable disease>virus disease, health>health treatment>medicine",10.1056/nejmoa1817307
who-0ed3a1efc3ba531ee69765085ff1448f,"Monkeypox Vaccines and Immunization: Interim Guidance November 16, 2022",Publication,2023-04-17,https://apps.who.int/iris/handle/10665/366972,,"Vaccination, Monkeypox, Vaccine",rus,"health>diseases and conditions, health>diseases and conditions>communicable disease, health>health treatment, health>health treatment>preventative medicine, science and technology>natural science, health, health>diseases and conditions>communicable disease>virus disease, science and technology, science and technology>natural science>biology, health>health treatment>preventative medicine>vaccines",10.1056/nejmoa1817307
who-a2ef319b23e0bae42ae9c78b57f92ee9,"Monkeypox Vaccines and Immunization: Interim Guidance, 16 November 2022",Publication,2023-01-19,https://apps.who.int/iris/handle/10665/365621,,"Vaccination, Breastfeeding, Vaccine",spa,"health>diseases and conditions, health>diseases and conditions>communicable disease, health>health treatment, health>health treatment>preventative medicine, health, science and technology, health>diseases and conditions>communicable disease>virus disease, health>health treatment>preventative medicine>vaccines",10.1056/nejmoa1817307
who-fec45d080ecbb163164c857d12b7ae6a,"Monkeypox Vaccines and Vaccination: Interim Guidance, November 16, 2022",Publication,2023-01-19,https://apps.who.int/iris/handle/10665/365620,,"Vaccine, Smallpox, Vaccination",fre,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease",10.1056/nejmoa1817307
deptofhealthau-0dbf67b6f3e5ae9001674a437409979f,ATAGI clinical guidance on vaccination against Monkeypox,Publication,2022-12-12,https://www.health.gov.au/resources/publications/atagi-clinical-guidance-on-vaccination-against-monkeypox?language=en,,"Smallpox vaccine, Monkeypox, Hypodermic needle",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease",10.1056/nejmoa1817307
ladocumentationfrancaise-a3d942e6ab8f11305e056734ff051738,opinion of covars 22112022 on the MMonkeypox epidemic | life-public.fr,Publication,2022-12-06,https://www.vie-publique.fr/rapport/287347-avis-du-covars-22112022-sur-l-epidemie-de-mmonkeypox,,"Infection, Monkeypox, Vaccine",fre,"health>diseases and conditions>illness, health>diseases and conditions, health",10.1056/nejmoa1817307
