unique_identifier,title,document_type,published_on,document_url,source_specific_tags,top_topics,languages,document_theme,first_order_doi
sipri-5142eadc728a5ed4685bfc213b2ff238,Emerging dual-use technologies in the life sciences: Challenges and policy recommendations on export control,Publication,2019-09-01,https://www.sipri.org/publications/2019/eu-non-proliferation-and-disarmament-papers/emerging-dual-use-technologies-life-sciences-challenges-and-policy-recommendations-export-control,,"Synthetic biology, Dual-use technology, Biosecurity",eng,"science and technology>natural science>biology, health>diseases and conditions>communicable disease, science and technology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health, science and technology>natural science, science and technology>natural science>biology>genetics",10.1371/journal.ppat.1007025
undrr-6005f903b5402d7275db7cb06f11dbd5,Hazards with escalation potential: Governing the drivers of global and existential catastrophes,Publication,2023-08-21,https://www.undrr.org/publication/hazards-escalation-potential-governing-drivers-global-and-existential-catastrophes,,"Global catastrophic risk, Climate change, Cyberattack",eng,"disaster, accident and emergency incident, disaster, accident and emergency incident>accident and emergency incident, disaster, accident and emergency incident>accident and emergency incident>industrial accident and incident, disaster, accident and emergency incident>disaster, environment, disaster, accident and emergency incident>accident and emergency incident>industrial accident and incident>nuclear accident and incident",10.1371/journal.ppat.1007286
govuk-82ae55ecfd4bb50ea08bd6f06cf5cb0b,UK Biological Security Strategy,Publication,2023-06-12,https://www.gov.uk/government/publications/uk-biological-security-strategy,,"AlphaFold, Biosecurity, Antimicrobial resistance",eng,"science and technology>natural science, science and technology, health>diseases and conditions, health, science and technology>natural science>biology",10.1371/journal.ppat.1007286
ethzcss-3b13c54623a99e8dd93a0059c185ab73,Strategic Foresight,Publication,2021-09-30,https://css.ethz.ch/en/publications/risk-and-resilience-reports/details.html?id=/s/t/r/a/strategic_foresight,,"Delphi method, Brier score, Forecasting",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology, economy, business and finance>economic sector>computing and information technology, society, economy, business and finance>economy",10.1371/journal.ppat.1007286
ukparliament_select-817341d3d8cf2f6fdb53ea3f30e76614,American University of Sovereign Nations (ENB0010),Publication,2024-09-03,https://committees.parliament.uk/writtenevidence/130213/pdf/,"Engineering biology (Inquiry), Science and Technology Committee","Genetically modified organism, Bioethics, Genetic engineering",eng,"economy, business and finance, economy, business and finance>economic sector, lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, lifestyle and leisure>lifestyle>food and drink, science and technology, economy, business and finance>economic sector>agriculture",10.3389/fbioe.2023.1292029
ethzcss-2f32557d7b8291a4c5dcd5faf235bcdf,"Trend Analysis Civil Protection 2035: Uncertainties, Challenges and Opportunities",Publication,2024-03-08,https://css.ethz.ch/en/publications/risk-and-resilience-reports/details.html?id=/t/r/e/n/trend_analysis_civil_protection_2035,,"Cyberattack, Emergency management, Climate resilience",eng,"disaster, accident and emergency incident, economy, business and finance, economy, business and finance>economic sector, disaster, accident and emergency incident>disaster, science and technology, environment, economy, business and finance>economic sector>computing and information technology",10.1038/s42256-022-00511-6
unidir-15b5066da15bd034c09cc6180aacd475,Stakeholder Perspectives on the Biological Weapons Convention,Publication,2022-12-06,https://unidir.org/publication/stakeholder-perspectives-on-the-biological-weapons-convention/,,"Biological warfare, Biological agent, Health security",eng,"science and technology>natural science, science and technology, health>diseases and conditions, science and technology>natural science>biology, health, science and technology>natural science>biology>genetics",10.1038/s42256-022-00511-6
fao-2ec518dab1847b6ff3c599113a052052,DRAFT SURVEY OF ACCESS AND BENEFIT-SHARING COUNTRY MEASURES ACCOMMODATING THE DISTINCTIVE FEATURES OF GENETIC RESOURCES FOR FOOD AND AGRICULTURE AND ASSOCIATED TRADITIONAL KNOWLEDGE,Publication,2021-01-01,https://openknowledge.fao.org/handle/20.500.14283/CB4662EN,"2 - Совещания, value chains, Документы совещаний","Nagoya Protocol, Convention on Biological Diversity, Traditional knowledge",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, economy, business and finance>economic sector>agriculture, science and technology>natural science>biology, science and technology, environment, science and technology>natural science>biology>genetics",10.1111/jwip.12118
fao-3607073bd04f9d6b283a6631378a320a,Draft survey of access and benefit-sharing country measures accommodating the distinctive features of genetic resources for food and agriculture and associated traditional knowledge,Publication,2021-01-01,https://openknowledge.fao.org/handle/20.500.14283/CB4813EN,"2 - Совещания, value chains, Документы совещаний","Nagoya Protocol, Convention on Biological Diversity, International Treaty on Plant Genetic Resources for Food and Agriculture",eng,"economy, business and finance, economy, business and finance>economic sector, politics, politics>government policy, politics>government policy>regulatory of industry, science and technology>natural science, economy, business and finance>economic sector>agriculture, science and technology>natural science>biology, environment, science and technology, science and technology>natural science>biology>genetics, politics>government policy>regulatory of industry>food and drink regulations",10.1111/jwip.12118
fao-3d2c8facdf789179cf339a0365107316,Draft survey of access and benefit-sharing country measures accommodating the distinctive features of genetic resources for food and agriculture and associated traditional knowledge - CGRFA/WG-PGR-10/21/5/Inf.2,Publication,2021-01-01,https://openknowledge.fao.org/handle/20.500.14283/CB6707EN,"2 - Совещания, value chains, Документы совещаний","Nagoya Protocol, Convention on Biological Diversity, Traditional knowledge",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, economy, business and finance>economic sector>agriculture, science and technology, science and technology>natural science>biology, environment, science and technology>natural science>biology>genetics",10.1111/jwip.12118
fao-7851f8196aa93d249bf43bcf2b990a2c,Draft survey of access and benefit-sharing country measures accommodating the distinctive features of Genetic Resources for Food and Agriculture and associated traditional knowledge- CGRFA/WG-FGR-6/21/Inf.3,Publication,2021-01-01,https://openknowledge.fao.org/handle/20.500.14283/CB3885EN,"2 - Совещания, value chains, Документы совещаний","International Treaty on Plant Genetic Resources for Food and Agriculture, Traditional knowledge, Treaty",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, economy, business and finance>economic sector>agriculture, environment, science and technology>natural science>biology, science and technology, environment>natural resources, science and technology>natural science>biology>genetics",10.1111/jwip.12118
fao-d54db080f0c79486ca2e5aa2bc19270c,DRAFT SURVEY OF ACCESS AND BENEFIT-SHARING COUNTRY MEASURES ACCOMMODATING THE DISTINCTIVE FEATURES OF GENETIC RESOURCES FOR FOOD AND AGRICULTURE AND ASSOCIATED TRADITIONAL KNOWLEDGE - CGRFA/WG-AnGR-11/21/Inf.8,Publication,2021-01-01,https://openknowledge.fao.org/handle/20.500.14283/CB4503EN,"2 - Совещания, value chains, Документы совещаний","Traditional knowledge, Convention on Biological Diversity, Nagoya Protocol",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, economy, business and finance>economic sector>agriculture, science and technology>natural science>biology, science and technology, environment, science and technology>natural science>biology>genetics",10.1111/jwip.12118
hcspfr-a60da3b08c9a203a20633df75976fcd0,Review of the smallpox control plan (December 2022),Publication,2022-12-16,https://www.hcsp.fr/Explore.cgi/avisrapportsdomaine?clefr=1279,,"Microbiology, Public health, Medicine",fre,"health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology, science and technology>natural science, science and technology>natural science>biology>genetics",10.1093/milmed/usz181
hcspfr-f5c0833b69a397d7c5124e3b112599de,Review of the smallpox control plan (December 2022),Publication,2022-12-16,https://www.hcsp.fr/Explore.cgi/avisrapportsdomaine?clefr=1278,,"Smallpox, Mpox, Zoonosis",fre,"health>diseases and conditions, health, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology, science and technology>natural science, science and technology>natural science>biology>genetics",10.1093/milmed/usz181
deptofhealthau-0dbf67b6f3e5ae9001674a437409979f,ATAGI clinical guidance on vaccination against Monkeypox,Publication,2022-12-12,https://www.health.gov.au/resources/publications/atagi-clinical-guidance-on-vaccination-against-monkeypox?language=en,,"Smallpox vaccine, Monkeypox, Hypodermic needle",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease",10.1093/milmed/usz181
ecdc-5bc992b649bc634e1c64370e1d1b5a12,Risk assessment: Monkeypox multi-country outbreak,Publication,2022-05-23,https://www.ecdc.europa.eu/en/publications-data/risk-assessment-monkeypox-multi-country-outbreak,,"Monkeypox, Monkeypox virus, Isolation (health care)",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.1093/milmed/usz181
ministrukabinets-c3c92115d77861a0e6911c3bb753496a,Monkeypox multi-country outbreak,Publication,2022-05-23,https://www.zva.gov.lv/sites/default/files/inline-files/Monkeypox-multi-country-outbreak.pdf,,"Mpox, Isolation (health care), Personal protective equipment",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.1093/milmed/usz181
kirbyinstitute-d2ee587301e3de6cc0a0079367489489,Annual Report 2019,Publication,2020-12-17,https://www.kirby.unsw.edu.au/research/reports/annual-report-2019,,"Cervical cancer, Human papillomavirus infection, HPV vaccine",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease",10.1093/milmed/usz181
anses-48b53eec19e169bdf1bcc6ee93970b2c,ANSES OPINION and REPORT on the report &quot;Integration of the exposome in ANSES&#39;s activities&quot;,Publication,2023-03-02,https://www.anses.fr/fr/system/files/AUTRE2022METH0197Ra.pdf,,"Agence nationale de sécurité sanitaire de l'alimentation, de l'environnement et du travail, Environmental factor, Health",fre,"lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science>biology, science and technology>natural science, environment, health>diseases and conditions, health, science and technology>natural science>biology>genetics, science and technology, lifestyle and leisure>lifestyle>food and drink",10.7189/jogh.10.020317
sipri-44d8d7d6f3035391226c131c5147a2c0,Biosecurity Risk Assessment in the Life Sciences: Towards a Toolkit for Individual Practitioners,Publication,2023-03-01,https://www.sipri.org/publications/2023/policy-reports/biosecurity-risk-assessment-life-sciences-towards-toolkit-individual-practitioners,,"Biosecurity, Risk, Biosafety",eng,"science and technology>natural science, science and technology>natural science>biology, science and technology, science and technology>natural science>biology>genetics, health, society, health>diseases and conditions",10.3389/fbioe.2021.797076
governmentofchile-c0b94775a0cc034a200786f9b0ed0a3f,Anticipation,Publication,2022-03-04,https://minciencia.gob.cl/uploads/filer_public/37/b2/37b2d99c-a4f7-43e4-bbe4-bab050d1e705/manual_i_anticipacion.pdf,,"Technology, World, Future",spa,"arts, culture and entertainment, science and technology>social sciences, science and technology, science and technology>social sciences>psychology, arts, culture and entertainment>culture",10.4324/9781003022428
defrauk-5535c7cd962339ffb0fc33f00bfce6dd,Study to explore the nature and economic value of Digital Sequence Information (DSI),Publication,2021-01-28,http://cdm21006.contentdm.oclc.org/cdm/ref/collection/p21006coll3/id/4241,Science_Search_Collection,"Convention on Biological Diversity, Digital sequence information, DNA sequencing",eng,"lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, lifestyle and leisure>lifestyle>food and drink",10.1038/s41587-020-0518-z
hcspfr-a60da3b08c9a203a20633df75976fcd0,Review of the smallpox control plan (December 2022),Publication,2022-12-16,https://www.hcsp.fr/Explore.cgi/avisrapportsdomaine?clefr=1279,,"Immunology, Mpox, Zoonosis",fre,"health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology, science and technology>natural science, science and technology>natural science>biology>genetics",10.1038/s41596-021-00655-6
hcspfr-f5c0833b69a397d7c5124e3b112599de,Review of the smallpox control plan (December 2022),Publication,2022-12-16,https://www.hcsp.fr/Explore.cgi/avisrapportsdomaine?clefr=1278,,"Infection, Variolation, Virus",fre,"health>diseases and conditions, health, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology, science and technology>natural science, science and technology>natural science>biology>genetics",10.1038/s41596-021-00655-6
ukparliament_select-e3391d72056da25c38403afdc8cfbdcb,"Paul Dalby (Professor in Biochemical Engineering and Biotechnology at University College London (UCL)), Gary Lye (Professor of Biochemical Engineering, Director of EPSRC Centre for Doctoral Training in Bioprocess Engineering Leadership, and Director UCL East Manufacturing Futures Lab at University College London (UCL)), Emily Kostas (UKRI Future Leaders Fellow at University College London (UCL)), and Chris Barnes (Professor of Systems and Synthetic Biology at University College London (UCL)) (ENB0036)",Publication,2024-09-03,https://committees.parliament.uk/writtenevidence/130252/pdf/,"Engineering biology (Inquiry), Science and Technology Committee","Mutation, Bioeconomy, CAR T cell",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, economy, business and finance>economic sector>chemicals, health",10.1089/hs.2019.0110
ifpusa-5697f4c7fbceb826b984e72205550a0f,Preventing the Misuse of DNA Synthesis,Publication,2023-02-15,https://ifp.org/preventing-the-misuse-of-dna-synthesis/,,"Synthetic biology, Biosecurity, Select agent",eng,"science and technology>natural science, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions",10.1089/hs.2019.0110
councilonforeignrelations-839e034d6e8a99d1d19f8711f25ee451,Managing the Risks of Biotechnology Innovation,Publication,2023-01-30,http://live-cfr-org.pantheonsite.io/report/managing-risks-biotechnology-innovation,,"Genetically modified organism, Genetic engineering, Biosafety",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, science and technology, health>diseases and conditions",10.1089/hs.2019.0110
unidir-32b63815f4c4871497402f6df3cb3aac,Advances in Science and Technology in the Life Sciences,Publication,2020-08-19,https://unidir.org/publication/advances-in-science-and-technology-in-the-life-sciences/,,"DNA sequencing, RNA, DNA synthesis",eng,"science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, science and technology>technology and engineering, science and technology>technology and engineering>micro science, science and technology, science and technology>technology and engineering>micro science>nanotechnology",10.1089/hs.2019.0110
govdeptsspain-a46876418f3e5e1819a0427c6abd06bc,The biological threat. Strategy Notebook 217,Publication,2023-02-14,https://publicaciones.defensa.gob.es/media/downloadable/files/links/l/a/la_amenaza_biologica.pdf,,"Biopreparat, Rickettsia, Bacteria",spa,"science and technology>natural science>biology, science and technology>natural science, health>diseases and conditions, science and technology>natural science>biology>genetics, health>diseases and conditions>illness, science and technology, health",10.1007/978-3-030-03053-7_11
govuk-82ae55ecfd4bb50ea08bd6f06cf5cb0b,UK Biological Security Strategy,Publication,2023-06-12,https://www.gov.uk/government/publications/uk-biological-security-strategy,,"Health sciences, Infection, Vaccine",eng,"science and technology>natural science, science and technology, health>diseases and conditions, health, science and technology>natural science>biology",10.1371/journal.ppat.1007129
govdeptsspain-5d7f68511846f95fece8442588ee15ce,IEEE Bulletin Number 17 2020,Publication,2020-06-30,https://bibliotecavirtual.defensa.gob.es/BVMDefensa/en/catalogo_imagenes/grupo.do?path=207660,,"Israel, Ebola, State of Palestine",spa,"health>diseases and conditions>communicable disease, health>diseases and conditions, health, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>epidemic, conflicts, war and peace, conflicts, war and peace>armed conflict",10.1371/journal.ppat.1007129
govdeptsspain-dcf6db1ec05a595dada4f4a1f9c7dea6,Pandemic emergencies,Publication,2020-04-22,https://bibliotecavirtual.defensa.gob.es/BVMDefensa/es/catalogo_imagenes/grupo.do?path=207661,,"Goma, Ebola, Public Health Emergency of International Concern",spa,"health>diseases and conditions, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease",10.1371/journal.ppat.1007129
weforum-9ee7750abdef7ec9718e5bb2a2860976,The Global Risks Report 2019,Publication,2019-01-15,https://www.weforum.org/reports/the-global-risks-report-2019,,"Biological warfare, Employment, Economic inequality",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease, health, politics, health>diseases and conditions>communicable disease>virus disease, society, society>values",10.1371/journal.ppat.1007129
governmentofsouthafrica-df7eb4af4977ce7ace89cdde5f6fe573,Insight Report,Publication,2019-01-13,https://soer.environment.gov.za/soer/UploadLibraryImages/UploadDocuments/031219151125_The%20Global%20Risks%20Report%202019.pdf,,"Computer security, Biological warfare, Artificial intelligence",eng,"disaster, accident and emergency incident, disaster, accident and emergency incident>disaster, health>diseases and conditions, politics, politics>international relations, health",10.1371/journal.ppat.1007129
congressionalresearch-0e02ba39c988aa5fb26e69ead4dd2213,R47114| Oversight of Gain of Function Research with Pathogens: Issues for Congress,Publication,2022-05-26,https://crsreports.congress.gov/product/pdf/download/R/R47114/R47114.pdf/,,"Gain-of-function research, Biosafety level, Biosafety",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology>natural science>biology>genetics, science and technology",10.1136/bmjopen-2019-029134
randcorporation-db8b67bbef9870ab2a6db4fdf61dc01c,Identifying and Closing Gaps in the Federal Select Agent Program,Publication,2025-05-13,https://www.rand.org/pubs/research_reports/RRA3628-1.html,,"Fusion protein, Virus, Biosafety",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, science and technology, health>diseases and conditions",10.1089/hs.2023.0008
randcorporation-8435dd8a8dd0461232cb9f74ee9debf1,Securing Commercial Nucleic Acid Synthesis,Publication,2024-07-01,https://www.rand.org/pubs/research_reports/RRA3329-1.html,"Meselson Center, RAND Global and Emerging Risks","RNA, Base pair, Genetics",eng,"economy, business and finance, economy, business and finance>economic sector, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, health, economy, business and finance>economic sector>computing and information technology",10.1089/hs.2023.0008
govdeptsspain-a46876418f3e5e1819a0427c6abd06bc,The biological threat. Strategy Notebook 217,Publication,2023-02-14,https://publicaciones.defensa.gob.es/media/downloadable/files/links/l/a/la_amenaza_biologica.pdf,,"Biopreparat, Rickettsia, Bacteria",spa,"science and technology>natural science>biology, science and technology>natural science, health>diseases and conditions, science and technology>natural science>biology>genetics, health>diseases and conditions>illness, science and technology, health",10.1089/hs.2018.0067
unenvironment-e20ee093dc62be90bcec4e56c8f9277c,Navigating New Horizons: A global foresight report on planetary health and human wellbeing,Publication,2024-07-09,https://wedocs.unep.org/handle/20.500.11822/45890,,"Solar geoengineering, Biological warfare, Climate change adaptation",eng,"environment>natural resources, lifestyle and leisure, lifestyle and leisure>lifestyle, environment, environment>natural resources>water, environment>environmental pollution, environment>nature, health, lifestyle and leisure>lifestyle>food and drink",10.1007/978-94-024-2086-9
who-60a87a90cc18c7afad13d073db0f062e,Laboratory biosecurity guidance,Publication,2024-01-01,https://apps.who.int/iris/handle/10665/377754,1. Headquarters,"Gain-of-function research, Dangerous goods, Do-it-yourself biology",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease",10.1007/978-94-024-2086-9
unitednations-098607d9efdb6913839d5838ee89b3fa,Navigating new horizons :a global foresight report on planetary health and human wellbeing,Publication,2024-01-01,https://digitallibrary.un.org/record/4058844?ln=en,"CLIMATE CHANGE, ENVIRONMENTAL DAMAGE, SUSTAINABLE DEVELOPMENT","Climate change, Solar geoengineering, Sustainable Development Goals",eng,"environment>natural resources, environment, environment>natural resources>water, environment>environmental pollution, environment>nature, health",10.1007/978-94-024-2086-9
gpogov-16362803fd00a7d46073862b5bdd3d45,The future of weapons of mass destruction: an update /,Publication,2021-03-09,https://purl.fdlp.gov/GPO/gpo157605,,"Hypersonic flight, Intercontinental ballistic missile, Joint Comprehensive Plan of Action",eng,"politics, conflicts, war and peace>post-war reconstruction, politics>government policy, politics>government, politics>government>defence, politics>government>defence>military equipment, politics>government>defence>military equipment>military weaponry, conflicts, war and peace, conflicts, war and peace>armed conflict, conflicts, war and peace>armed conflict>war, politics>government policy>nuclear policy, conflicts, war and peace>post-war reconstruction>disarmament",10.1128/msphere.00074-18
gpogov-16362803fd00a7d46073862b5bdd3d45,The future of weapons of mass destruction: an update /,Publication,2021-03-09,https://purl.fdlp.gov/GPO/gpo157605,,"Hypersonic flight, Intercontinental ballistic missile, Joint Comprehensive Plan of Action",eng,"politics, conflicts, war and peace>post-war reconstruction, politics>government policy, politics>government, politics>government>defence, politics>government>defence>military equipment, politics>government>defence>military equipment>military weaponry, conflicts, war and peace, conflicts, war and peace>armed conflict, conflicts, war and peace>armed conflict>war, politics>government policy>nuclear policy, conflicts, war and peace>post-war reconstruction>disarmament",10.1007/82_2019_177
govsg-96d6fb7963fef50c2a561fafb57e0cd7,"Ethical, Legal, And Social Issues Arising From Human Nuclear Genome Editing",Publication,2024-05-29,https://www.bioethics-singapore.gov.sg/files/publications/consultation-papers/hnge_public_consultation_paper.pdf,,"CRISPR gene editing, Genome editing, Gene therapy",eng,"health, science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, health>diseases and conditions, science and technology, health>diseases and conditions>illness",10.3390/ijerph19116739
pacforum-f61d37da6bcab8ae776cd01749286b75,Explore Pacific Forum's Insightful Indo-Pacific Analysis,Publication,2023-04-10,https://pacforum.org/publications/issues-insights-vol-23-sr4-a-history-of-shared-values-a-future-of-shared-strategic-interests-us-australia-relations-in-the-indo-pacific/,,"Committee on Foreign Investment in the United States, Foreign direct investment, Belt and Road Initiative",eng,"politics, politics>government, conflicts, war and peace, science and technology, conflicts, war and peace>armed conflict",10.1080/10357718.2019.1584154
govdeptsspain-a46876418f3e5e1819a0427c6abd06bc,The biological threat. Strategy Notebook 217,Publication,2023-02-14,https://publicaciones.defensa.gob.es/media/downloadable/files/links/l/a/la_amenaza_biologica.pdf,,"Rickettsia, Bacteria, Microorganism",spa,"science and technology>natural science>biology, science and technology>natural science, health>diseases and conditions, science and technology>natural science>biology>genetics, health>diseases and conditions>illness, science and technology, health",10.1080/10357718.2019.1584154
unenvironment-f078549375265299f8f5c8c84f247083,COVID-19: A Warning - Addressing Environmental Threats and the Risk of Future Pandemics in Asia and the Pacific,Publication,2022-10-01,https://wedocs.unep.org/handle/20.500.11822/40871,,"Zoonosis, Taeniasis, Nipah virus",eng,"health, health>diseases and conditions>communicable disease, lifestyle and leisure, lifestyle and leisure>lifestyle, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, lifestyle and leisure>lifestyle>food and drink",10.1017/9781108692137.023
congressionalresearch-16ea1dd9ac7819d8a767b2ac07396510,R47265| Synthetic/Engineering Biology: Issues for Congress,Publication,2022-09-30,https://crsreports.congress.gov/product/pdf/download/R/R47265/R47265.pdf/,,"Synthetic biology, Biosecurity, Do-it-yourself biology",eng,"science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology",10.3390/v13040569
aigovus-642c2c158063409d154cc59819dc40c8,(NSCAI) The Role of AI Technology in Pandemic Response and Preparedness: Recommended Investments and Initiatives,Publication,2020-06-29,https://cybercemetery.unt.edu/nscai/20211005220330mp_/https://www.nscai.gov/wp-content/uploads/2021/01/NSCAI_White-Paper_The-Role-of-AI-Technology-in-Pandemic-Response-and-Preparedness.pdf,,"Artificial intelligence, Public health surveillance, Zoonosis",eng,"science and technology, health>diseases and conditions, health",10.1016/b978-0-12-815379-6.00008-8
gpogov-140b91cbecd75cd844e718f3283e3033,The role of AI technology in pandemic response and preparedness : recommended investments and initiatives /,Publication,2020-06-29,https://purl.fdlp.gov/GPO/gpo213474,,"Artificial intelligence, Public health surveillance, COVID-19 pandemic",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, science and technology, health>diseases and conditions, health, science and technology>natural science>biology, economy, business and finance>economic sector>computing and information technology",10.1016/b978-0-12-815379-6.00008-8
sipri-f178fe7df51d22be7ac577b09a12521e,Effective and Comprehensive CBRN Security Risk Management in the 21st Century,Publication,2021-06-01,https://www.sipri.org/publications/2021/eu-non-proliferation-and-disarmament-papers/effective-and-comprehensive-cbrn-security-risk-management-21st-century,,"Nuclear proliferation, Treaty on the Non-Proliferation of Nuclear Weapons, European Union",eng,"economy, business and finance, economy, business and finance>economic sector, lifestyle and leisure, lifestyle and leisure>lifestyle, politics, politics>government, politics>government>defence, politics>government>defence>military equipment, conflicts, war and peace, science and technology, politics>government>defence>military equipment>military weaponry, economy, business and finance>economic sector>energy and resource, conflicts, war and peace>armed conflict, lifestyle and leisure>lifestyle>food and drink, health",10.1007/978-3-030-27264-7_14
ukparliament_select-f9ec0fa9b1c1887437c47ed38b069432,NSM0003 - National security machinery,Publication,2021-02-23,https://committees.parliament.uk/writtenevidence/22590/pdf/,National Security Strategy (Joint Committee),"Biosafety, Biosecurity, Human activities",eng,"conflicts, war and peace, conflicts, war and peace>act of terror, education, science and technology, health>diseases and conditions, health, conflicts, war and peace>act of terror>act of bioterrorism",10.1007/978-3-030-27264-7_14
